EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Technische Hinweise;;
Untertitel;Informationen zu Errichtung von Photovoltaikanlagen:;;
;Für die Montage der Photovoltaikmodule muss in der Regel die Arbeitsstelle auf dem Dach durch ein Gerüst gesichert werden.;;
;Des Weiteren muss ein sicherer Platz zur Lagerung der Module auf dem Dach oder dem Gerüst geschaffen werden.;;
;Dies muss bauseitig erfolgen. Nach vorheriger Absprache können diese Arbeiten auch von unserem Dienstleister kostenpflichtig übernommen werden.;;
;Wenn Veränderungen am Bestandsteil der Elektroanlage von unserem Dienstleister vorgenommen werden, wird die Anlage vor Wiederinbetriebnahme durch eine Sichtprüfung und elektrotechnischen Messungen auf Mängel überprüft.;;
;Sollten im Zuge dessen Fehler auftauchen, behält sich unser Dienstleister vor, für die betroffenen Anlagenteile keine Haftung zu übernehmen.;;
;Grundsätzlich ist unserem Dienstleister, wenn vorhanden, das Prüf-/Messprotokoll der Elektrofachkraft, die zuletzt Änderungen an der Elektroanlage ausgeführt hat, vorzulegen.;;
;Bei Nachrüstung eines Fehlerstromschutzschalters in älteren Stromkreisen kann es aufgrund eines alten Installationsstandards zu Komplikationen führen, die eine Fehlersuche nach sich ziehen.;;
;Diese Fehlersuche ist nicht Bestandteil des Angebotes und wird nach tatsächlichem Aufwand berechnet.;;
;Die Abrechnung der Fehlersuche erfolgt pro angefangene Viertelstunde zu 69,00 EUR/h.;;
;Es muss dafür Sorge getragen werden, dass ein reibungsloser Ablauf der nötigen Arbeiten möglich ist.;;
;Stromkreise müssen problemlos abschaltbar sein.;;
;Der kurzzeitige Ausfall von Betriebsmitteln ist während der Arbeiten unseres Dienstleisters möglich, somit ist keine Betriebssicherheit gegeben.;;
;Die Stromkreisverteiler und Arbeitsplätze müssen frei zugänglich sein.;;
;;;
Untertitel;Wichtiger Hinweis für Dächer mit Pappdocken:;;
;Bei Dächern mit Pappdocken kann es beim Anheben der Dachpfannen und dem Setzen der Dachhaken unter Umständen zu Beschädigungen an den vorhandenen Pappdocken kommen (Alter, Porosität, etc.).;;
;Die durch unseren Dienstleister offensichtlich beschädigten Pappdocken werden selbstverständlich auf seine Kosten ausgetaucht. Für alle weiteren Leistungen ist bauseits ein Dachdecker hinzuzuziehen.;;
;Eine Haftungsübernahme oder das Ausstellen einer Garantie zur späteren Dichtigkeit des Daches ist nicht Bestandteil des Angebotes und somit ausdrücklich ausgeschlossen.;;
;Sofern erst im späteren Projektverlauf der Dachaufbau inkl. Pappdocken erkennbar wird, ohne dass im Angebot ausdrücklich darauf hingewiesen wurde, wird durch den entstandenen Mehraufwand eine Neukalkulation erforderlich.;;
;;;
Untertitel;Hinweise zu Statik:;;
;Der Leistungsumfang unseres Dienstleisters beinhaltet keine statische Prüfung der baulichen Gegebenheiten.;;
;Mit Beauftragung des Angebotes bestätigen Sie die bauseitige Prüfung und statische Freigabe der von unserem Dienstleister angebotenen Leistungen.;;
